V,hinfjinf
869,1.24E-220
870,7.25E-221
871,4.23E-221
872,2.47E-221
873,1.44E-221
874,8.41E-222
875,4.91E-222
876,2.87E-222
877,1.67E-222
878,9.76E-223
879,5.70E-223
880,3.33E-223
